"REQ. TIME","DEVICE ID","IP ADDRESS","LOCATION","COUNTRY","CARRIER","APP BUNDLE","MAKE","MODEL","CONNECTION TYPE","GEO TYPE"
"2024-09-22 04:52:00","a844bdd7-6e26-422c-895b-71a3f73181e7","37.111.144.246","32.86572, 74.25975","PK","Telenor Pakistan","com.mxtech.videoplayer.ad","Vivo","V2043","Cellular Network- 4G","GPS/Location Services"
"2024-09-22 04:52:00","a844bdd7-6e26-422c-895b-71a3f73181e7","37.111.144.246","32.86572, 74.25975","PK","Telenor Pakistan","com.mxtech.videoplayer.ad","Vivo","V2043","Cellular Network- 4G","GPS/Location Services"
"2024-12-23 03:35:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 21:26:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.80567, 73.91629","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-23 03:37:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:45:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2025-02-12 21:25:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.80589, 73.915634","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-23 03:35:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:43:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-12-21 04:53:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
